Type,AccountID,ConID,SecurityID,Symbol,BBTicker,BBGlobalID,SecurityDescription,AssetType,Currency,BaseCurrency,Quantity,QuantityInBase,CostPrice,CostBasis,CostBasisInBase,MarketPrice,MarketValue,MarketValueInBase,OpenDateTime,FxRateToBase,ReportDate,SettledQuantity,SettledQuantityInBase,MasterAccountID,Van,AccruedInt,OriginatingOrderID,Multiplier,
D,U5457571,10880,US6745991058,OXY,OXY,BBG000BQQ2S6,OCCIDENTAL PETROLEUM CORP,STK,USD,USD,3,0,66.723345,200.170035,200.170035,63.71,191.13,191.13,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,199169591,US70450Y1038,PYPL,PYPL,BBG0077VNXV6,PAYPAL HOLDINGS INC,STK,USD,USD,9,0,85.20719,766.86471,766.86471,74.22,667.98,667.98,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,320227571,US46090E1038,QQQ,QQQ,BBG000BSWKH7,INVESCO QQQ TRUST SERIES 1,STK,USD,USD,100,0,339.578,33957.8,33957.8,283.85,28385,28385,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,756733,US78462F1030,SPY,SPY,BBG000BDTBL9,SPDR S&P 500 ETF TRUST,STK,USD,USD,250,0,429.987504,107496.876,107496.876,396.24,99060,99060,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,15547841,US4642874329,TLT,TLT,BBG000BJKYW3,ISHARES 20+ YEAR TREASURY BO,STK,USD,USD,187,0,98.09313404,18343.416065,18343.416065,109.17,20414.79,20414.79,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,13116,US9022521051,TYL,TYL,BBG000BVWZF9,TYLER TECHNOLOGIES INC,STK,USD,USD,10,0,334.383,3343.83,3343.83,318.44,3184.4,3184.4,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,13497,US91913Y1001,VLO,VLO,BBG000BBGGQ1,VALERO ENERGY CORP,STK,USD,USD,12,0,109.1828975,1310.19477,1310.19477,116.9,1402.8,1402.8,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,337722877,US92511U1025,VRRM,VRRM,BBG00G4XQ9Z1,VERRA MOBILITY CORP,STK,USD,USD,23,0,15.88521739,365.36,365.36,14.52,333.96,333.96,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,,,,,,,CASH,USD,USD,18394.08005408,18394.08005408,0,0,0,0,0,0,,1,20221208,18863.49005408,18863.49005408,F6017651,U5457571,0,,1,
D,U5457571,,,,,,,INTACC,USD,USD,4.42,4.42,0,0,0,0,0,0,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,,,,,,,DIVACC,USD,USD,35,35,0,0,0,0,0,0,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5824529,4725941,US00760J1088,AEHR,AEHR,BBG000BWM083,AEHR TEST SYSTEMS,STK,USD,USD,1,0,24.942465,24.942465,24.942465,25.59,25.59,25.59,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,288771051,US09215C1053,BKI,BKI,BBG00GX77LW3,BLACK KNIGHT INC,STK,USD,USD,1,0,61.180575,61.180575,61.180575,60.26,60.26,60.26,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,578327143,US25401T6038,DBRG,DBRG,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,STK,USD,USD,2,0,16.55,33.1,33.1,12.63,25.26,25.26,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,6459,US2546871060,DIS,DIS,BBG000BH4R78,WALT DISNEY CO/THE,STK,USD,USD,2,0,106.17306,212.34612,212.34612,92.55,185.1,185.1,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,6917,US29476L1070,EQR,EQR,BBG000BG8M31,EQUITY RESIDENTIAL,STK,USD,USD,3,0,74.55,223.65,223.65,62.71,188.13,188.13,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,158655765,US36162J1060,GEO,GEO,BBG000GC0TZ3,GEO GROUP INC/THE,STK,USD,USD,1,0,12.14607,12.14607,12.14607,11.54,11.54,11.54,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,208813720,US02079K1079,GOOG,GOOG,BBG009S3NB30,ALPHABET INC-CL C,STK,USD,USD,4,0,98.539245,394.15698,394.15698,93.95,375.8,375.8,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,4627828,US38141G1040,GS,GS,BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,STK,USD,USD,1,0,294.426667,294.426667,294.426667,358.08,358.08,358.08,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,9388,US55262C1009,MBI,MBI,BBG000BNQN34,MBIA INC,STK,USD,USD,2,0,13.056525,26.11305,26.11305,12.6,25.2,25.2,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,272093,US5949181045,MSFT,MSFT,BBG000BPH459,MICROSOFT CORP,STK,USD,USD,2,0,236.087985,472.17597,472.17597,247.4,494.8,494.8,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,15547841,US4642874329,TLT,TLT,BBG000BJKYW3,ISHARES 20+ YEAR TREASURY BO,STK,USD,USD,6,0,99.68413383,598.104803,598.104803,109.17,655.02,655.02,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,13116,US9022521051,TYL,TYL,BBG000BVWZF9,TYLER TECHNOLOGIES INC,STK,USD,USD,1,0,378.86,378.86,378.86,318.44,318.44,318.44,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,13497,US91913Y1001,VLO,VLO,BBG000BBGGQ1,VALERO ENERGY CORP,STK,USD,USD,2,0,105.862905,211.72581,211.72581,116.9,233.8,233.8,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,337722877,US92511U1025,VRRM,VRRM,BBG00G4XQ9Z1,VERRA MOBILITY CORP,STK,USD,USD,1,0,16.49,16.49,16.49,14.52,14.52,14.52,,1,20221208,0,0,F6017651,U5824529,0,,1,
D,U5824529,,,,,,,CASH,USD,USD,813.18009596,813.18009596,0,0,0,0,0,0,,1,20221208,839.28009596,839.28009596,F6017651,U5824529,0,,1,
D,U5824529,,,,,,,DIVACC,USD,USD,2.5,2.5,0,0,0,0,0,0,,1,20221208,0,0,F6017651,U5824529,0,,1,
